Home ID,consumo_total_kwh,consumo_promedio_kwh,consumo_maximo_kwh,consumo_minimo_kwh,desviacion_consumo_kwh,numero_mediciones,cantidad_personas,temperatura_promedio,temperatura_maxima,temperatura_minima,porcentaje_horario_pico,coeficiente_variacion
32,340.37,1.4928508771929825,4.89,0.1,1.1559706086873516,228,4,14.853070175438596,39.9,-9.9,0.10526315789473684,0.7743376289940833
33,250.88,1.3937777777777778,4.95,0.11,1.1611259973087844,180,4,15.337777777777779,39.9,-9.8,0.14444444444444443,0.833078282507897
34,303.38,1.5245226130653267,4.91,0.11,1.1968792114111972,199,3,15.645226130653267,39.8,-9.9,0.11557788944723618,0.7850845905162774
35,314.41,1.6461256544502618,4.83,0.16,1.2728181186152352,191,4,14.952879581151832,39.8,-10.0,0.1256544502617801,0.7732205103384432
36,269.09,1.4088481675392668,4.99,0.14,1.1960033149858535,191,1,13.951832460732986,38.5,-9.4,0.13089005235602094,0.8489227885179608
37,295.45,1.5388020833333333,4.99,0.1,1.1707960876892771,192,5,14.580208333333333,39.9,-9.3,0.15104166666666666,0.7608490398928455
38,270.86,1.3342857142857143,4.84,0.14,1.1079062659814,203,1,14.066995073891626,39.9,-9.7,0.08866995073891626,0.8303366019132549
39,284.63,1.6080790960451976,4.92,0.14,1.296832125562167,177,3,14.26271186440678,39.3,-9.9,0.07909604519774012,0.8064479718388912
40,317.26,1.5863,4.96,0.14,1.2678713653186486,200,3,14.285,39.8,-10.0,0.14,0.7992632952900767
41,307.47,1.5297014925373136,4.98,0.16,1.1245100757431037,201,3,14.987562189054726,39.5,-9.9,0.1044776119402985,0.7351173292495652
42,283.32,1.3956650246305418,4.93,0.12,1.10230448350931,203,3,15.615270935960591,40.0,-10.0,0.12807881773399016,0.7898059090512141
43,284.53000000000003,1.4819270833333336,4.86,0.13,1.1085649111326725,192,4,13.401562499999999,39.5,-9.9,0.11458333333333333,0.7480563137014483
44,272.21,1.4177604166666666,4.82,0.1,1.0984423454503014,192,1,13.875520833333333,39.8,-9.9,0.140625,0.7747728971252263
45,353.58,1.6294009216589862,4.92,0.11,1.311585522902733,217,1,17.028110599078342,39.8,-9.9,0.10599078341013825,0.8049495403300329
46,296.91,1.4771641791044778,4.89,0.12,1.1507577581361113,201,5,13.178109452736319,39.8,-9.9,0.11940298507462686,0.7790317247157669
47,301.22,1.5607253886010364,4.92,0.1,1.1780361890610485,193,2,13.728497409326424,39.9,-9.7,0.15544041450777202,0.7548004265612587
48,327.29,1.6043627450980393,4.94,0.11,1.2064147453171048,204,1,14.68578431372549,39.6,-10.0,0.15196078431372548,0.7519588378645524
49,297.86,1.559476439790576,4.9,0.12,1.2096392407916703,191,2,14.353403141361257,40.0,-9.9,0.1099476439790576,0.7756700966602061
50,320.82,1.6121608040201005,5.0,0.14,1.256220021209756,199,1,13.56281407035176,39.8,-9.5,0.10552763819095477,0.7792150870293044
51,307.74,1.4866666666666668,5.0,0.11,1.207031583148696,207,3,15.565217391304348,39.9,-9.9,0.13526570048309178,0.8119046523421721
52,301.9,1.4173708920187793,4.83,0.12,1.1485822427645362,213,3,13.95962441314554,39.8,-9.0,0.09389671361502347,0.8103611053621935
53,257.83,1.4649431818181817,4.98,0.14,1.1145007836485568,176,1,13.157386363636363,39.6,-9.2,0.125,0.7607808940858163
54,290.6,1.4751269035532997,4.93,0.14,1.0822155134199436,197,4,15.132994923857867,39.3,-9.7,0.12690355329949238,0.733642312951579
55,296.55,1.4902010050251258,4.93,0.14,1.1616119763653217,199,4,15.473366834170854,39.7,-9.9,0.11055276381909548,0.7795001965830348
56,283.45,1.3963054187192119,4.97,0.1,1.145486037755705,203,5,15.170443349753695,39.8,-9.6,0.08866995073891626,0.8203692561806601
57,320.25,1.5932835820895523,4.98,0.15,1.2311763335034929,201,2,15.69502487562189,39.7,-9.4,0.14427860696517414,0.7727289399975084
58,286.96999999999997,1.5428494623655913,4.97,0.14,1.112405209529737,186,4,16.93978494623656,39.6,-9.9,0.14516129032258066,0.7210069657892152
59,297.25,1.48625,4.94,0.1,1.2453803832544394,200,5,14.2585,39.2,-9.8,0.115,0.8379346565210694
60,301.14,1.4618446601941746,4.93,0.1,1.1692330173761631,206,5,17.050485436893204,39.7,-9.9,0.11650485436893204,0.799833969514145
61,367.86,1.6063755458515285,4.99,0.11,1.2767964497664515,229,3,14.768995633187773,40.0,-9.4,0.14410480349344978,0.7948306067431016
62,294.38,1.5493684210526315,4.75,0.1,1.1584370153677814,190,1,14.210526315789474,39.8,-10.0,0.12631578947368421,0.747683378354095
63,272.63,1.3839086294416243,4.93,0.1,1.1715886004701836,197,3,15.630456852791877,40.0,-9.4,0.15228426395939088,0.846579445741944
64,309.28,1.4588679245283018,4.87,0.11,1.2285897751299926,212,5,16.56179245283019,39.7,-9.7,0.14622641509433962,0.8421528463772583
65,317.35,1.5405339805825244,4.98,0.1,1.2317824508235053,206,3,16.089320388349513,39.7,-10.0,0.1262135922330097,0.7995814869060724
66,296.63,1.461231527093596,4.81,0.12,1.1094941138663572,203,4,14.12807881773399,39.7,-10.0,0.1330049261083744,0.7592870077701868
67,282.77,1.4138499999999998,4.93,0.1,1.069671286332404,200,5,16.6975,40.0,-8.6,0.115,0.7565663163223851
68,299.95,1.4082159624413144,4.87,0.1,1.0513673084565487,213,2,15.713145539906103,39.8,-9.3,0.18309859154929578,0.7465952215410732
69,312.13,1.5606499999999999,5.0,0.12,1.2547570096502074,200,3,12.943,39.5,-9.8,0.125,0.8039964179349678
70,287.17,1.443065326633166,4.96,0.11,1.1740008219989932,199,4,16.585929648241205,39.9,-9.4,0.135678391959799,0.8135465528356014
71,292.44,1.3925714285714286,4.74,0.11,1.0394118953403326,210,3,14.24904761904762,39.6,-10.0,0.11904761904761904,0.7463975448689298
72,288.52,1.5940331491712707,4.94,0.11,1.2949872496178505,181,3,17.954143646408838,40.0,-9.9,0.09944751381215469,0.8123966871649485
73,315.97,1.5046190476190477,5.0,0.1,1.225106614877771,210,5,14.67952380952381,39.9,-9.4,0.1380952380952381,0.8142304304976165
74,339.41,1.6085781990521328,5.0,0.12,1.270437070384901,211,4,14.444549763033177,39.9,-9.7,0.14691943127962084,0.7897888154480248
75,268.95,1.3583333333333332,4.99,0.14,1.1008131512244164,198,1,14.446464646464648,39.1,-9.3,0.15656565656565657,0.8104145898584662
76,259.21,1.4400555555555554,4.98,0.11,1.0975124220023251,180,3,14.568333333333335,39.9,-9.8,0.15555555555555556,0.7621320009275049
77,325.81,1.6881347150259067,4.99,0.1,1.3492014005541721,193,1,13.218652849740932,39.6,-10.0,0.09326424870466321,0.7992261450138277
78,269.93,1.3632828282828282,4.96,0.1,1.1091084958842943,198,3,15.557070707070707,40.0,-9.3,0.14646464646464646,0.8135571525398817
79,297.2,1.5319587628865978,4.81,0.15,1.2021644031398948,194,5,16.164432989690724,40.0,-9.7,0.16494845360824742,0.784723735562381
80,329.59,1.5258796296296295,4.98,0.18,1.1087957701318074,216,1,14.080555555555556,39.8,-9.5,0.18055555555555555,0.7266600514228904
81,288.69,1.4014077669902913,4.89,0.11,1.1540704035411462,206,3,14.630582524271846,39.8,-9.9,0.16019417475728157,0.8235079259048672
82,323.05,1.553125,4.91,0.1,1.1669363430555932,208,3,14.961538461538462,39.6,-10.0,0.14423076923076922,0.7513473436172833
83,326.09,1.5829611650485436,4.99,0.1,1.154519631263278,206,2,13.80728155339806,39.7,-9.9,0.11650485436893204,0.7293417278672614
84,325.73,1.661887755102041,4.95,0.17,1.2594247802390033,196,3,13.346938775510203,39.9,-9.8,0.15816326530612246,0.7578278234330416
85,308.43,1.4480281690140846,4.99,0.11,1.1567671522332323,213,3,15.965258215962441,39.9,-9.9,0.09389671361502347,0.798856801950778
86,308.43,1.3769196428571429,4.94,0.1,1.0088117917540094,224,5,17.384821428571428,39.8,-10.0,0.11160714285714286,0.7326584357970953
87,292.53,1.4626499999999998,4.99,0.12,1.1259151397907614,200,2,13.357000000000001,39.7,-9.5,0.145,0.7697775542958066
88,307.46,1.4367289719626166,4.94,0.11,1.175932973482681,214,4,15.518691588785046,39.9,-9.9,0.1261682242990654,0.818479334955096
89,270.44,1.5908235294117647,4.95,0.11,1.2384163505991255,170,5,15.491764705882352,39.9,-9.8,0.08823529411764706,0.7784750022254523
90,239.84,1.4448192771084338,4.84,0.1,1.0757096166078022,166,1,16.410843373493975,39.8,-9.8,0.10843373493975904,0.7445288373786489
91,323.25,1.5466507177033493,4.99,0.1,1.186624283383476,209,2,14.794736842105262,40.0,-9.9,0.1674641148325359,0.7672218877869961
92,317.56,1.5799004975124378,4.83,0.13,1.2274404221996893,201,3,14.396517412935323,39.9,-10.0,0.14427860696517414,0.7769099535903059
93,278.23,1.4491145833333334,4.94,0.1,1.1229424453163304,192,4,15.123958333333334,39.9,-10.0,0.13020833333333334,0.7749162545402559
94,319.58,1.5742857142857143,4.88,0.12,1.1939649633908065,203,5,15.143349753694581,39.7,-9.8,0.11822660098522167,0.7584169458925268
95,346.17,1.5952534562211982,4.97,0.1,1.297382355795393,217,2,15.847465437788019,39.7,-9.7,0.0967741935483871,0.813276630579196
96,280.6,1.500534759358289,4.99,0.11,1.1365973235653113,187,2,14.302673796791444,40.0,-9.8,0.1497326203208556,0.7574615092897833
97,308.81,1.4846634615384615,4.84,0.11,1.1873495357354331,208,4,15.397115384615384,39.8,-9.4,0.15865384615384615,0.7997432189144461
98,291.4,1.3942583732057414,4.89,0.1,1.0724825398611189,209,3,15.171291866028708,40.0,-9.6,0.12440191387559808,0.7692136267363551
99,300.92,1.6265945945945948,4.96,0.11,1.2446685314699224,185,1,15.262702702702702,39.9,-9.5,0.15675675675675677,0.7651989841882747
100,312.26,1.523219512195122,4.98,0.11,1.1522247770605827,205,2,14.285365853658536,40.0,-10.0,0.12682926829268293,0.7564403999789261
101,277.44,1.445,4.93,0.1,1.1938744178741958,192,5,14.727083333333333,40.0,-9.7,0.10416666666666667,0.826210669809132
102,321.63,1.5388995215311005,4.99,0.12,1.184564279861912,209,1,14.923444976076555,39.8,-9.7,0.08133971291866028,0.7697476432271231
103,356.44,1.529785407725322,4.92,0.11,1.2389575868557918,233,5,15.703004291845494,39.9,-9.7,0.11158798283261803,0.8098897927769035
104,298.84,1.5564583333333333,4.9,0.1,1.249282080049292,192,3,15.628124999999999,39.4,-9.7,0.08854166666666667,0.8026440883732568
105,317.73,1.6128426395939086,4.9,0.11,1.29484536962288,197,1,14.84010152284264,39.7,-9.8,0.10152284263959391,0.8028342863931872
106,287.7,1.4102941176470587,4.87,0.13,1.0638066751683388,204,2,15.373039215686275,39.8,-9.9,0.1323529411764706,0.7543154735291663
107,261.67,1.3558031088082902,4.93,0.13,1.1967144703445145,193,4,15.069430051813471,39.8,-10.0,0.15025906735751296,0.8826609576049653
108,291.94,1.5126424870466322,4.9,0.16,1.193396658726867,193,1,16.489637305699482,40.0,-9.6,0.11398963730569948,0.7889482603763969
109,274.9,1.54438202247191,4.98,0.13,1.2193690644678492,178,2,16.8,39.8,-9.1,0.0898876404494382,0.7895514495281091
110,330.57,1.5375348837209302,5.0,0.1,1.2130867276597201,215,4,13.613488372093023,39.8,-9.9,0.14883720930232558,0.7889815967778075
111,324.81,1.5615865384615384,4.93,0.1,1.2077458870725317,208,5,16.49423076923077,39.7,-9.8,0.10096153846153846,0.7734095148273964
112,295.01,1.5445549738219895,4.99,0.14,1.19550856206134,191,2,15.843455497382198,39.8,-9.9,0.12041884816753927,0.7740148989990709
113,325.06,1.5779611650485437,4.92,0.11,1.2493513315733096,206,5,15.88980582524272,39.8,-9.8,0.13106796116504854,0.791750367021786
114,321.71999999999997,1.449189189189189,4.69,0.12,1.1072836888825748,222,2,14.782432432432431,39.9,-9.9,0.11711711711711711,0.7640711765881252
115,342.69,1.6088732394366196,4.99,0.12,1.2028392699474293,213,1,14.769953051643192,39.3,-9.9,0.107981220657277,0.7476283652829159
116,283.45,1.5077127659574467,4.96,0.11,1.170395784077746,188,2,15.39095744680851,39.8,-9.8,0.10638297872340426,0.7762723845708811
117,288.86,1.458888888888889,4.97,0.13,1.1806011450671154,198,1,15.120707070707072,39.6,-10.0,0.1717171717171717,0.8092467864131028
118,297.23,1.4787562189054728,4.9,0.13,1.1760790557074101,201,4,14.470149253731343,39.9,-10.0,0.13432835820895522,0.7953163886457941
119,289.74,1.4935051546391753,4.85,0.13,1.2076633896361986,194,3,14.671134020618556,40.0,-9.8,0.10824742268041238,0.8086101249030941
120,278.05,1.5533519553072626,5.0,0.12,1.2463231063989417,179,2,15.500558659217877,39.1,-9.8,0.12290502793296089,0.8023443123373875
121,319.83,1.623502538071066,4.98,0.13,1.3387743466578061,197,3,15.234517766497461,39.8,-10.0,0.09137055837563451,0.8246210370871645
122,322.66,1.4469058295964126,4.89,0.12,1.0631458609817468,223,5,15.023766816143498,39.9,-9.9,0.13452914798206278,0.7347719797896533
123,294.87,1.4597524752475248,4.9,0.11,1.1898578192241993,202,5,13.582178217821781,39.9,-9.4,0.13366336633663367,0.815109300652112
124,279.86,1.4063316582914573,4.98,0.1,1.1292050974351378,199,4,13.440201005025125,39.9,-9.6,0.1306532663316583,0.8029436660815851
125,281.78,1.4303553299492384,4.86,0.1,1.1441177759922028,197,5,11.441624365482234,39.6,-9.6,0.1116751269035533,0.7998836037705442
126,300.77,1.439090909090909,4.96,0.1,1.0749801591924115,209,2,13.6,40.0,-10.0,0.1291866028708134,0.7469855812455166
127,308.14,1.488599033816425,4.88,0.13,1.2002093137024439,207,1,15.09855072463768,39.9,-9.8,0.09178743961352658,0.8062676962952097
128,300.26,1.4230331753554502,4.82,0.12,1.1041645382213578,211,4,15.198104265402845,39.7,-9.6,0.0995260663507109,0.7759232583917489
129,301.52,1.4780392156862745,4.89,0.15,1.1912836469617945,204,5,13.44264705882353,39.7,-9.9,0.10294117647058823,0.8059892013140292
130,300.01,1.5873544973544973,4.89,0.12,1.270920417952894,189,3,14.804232804232804,39.9,-9.8,0.15343915343915343,0.8006531748711608
131,317.64,1.5881999999999998,4.93,0.13,1.1441372339235585,200,4,14.6725,40.0,-9.7,0.115,0.7203987117010191
132,306.29,1.4447641509433964,4.71,0.11,1.1779705582291629,212,1,15.570283018867926,40.0,-9.8,0.12264150943396226,0.8153376158039195
133,364.14,1.4862857142857142,4.87,0.12,1.168247110621468,245,3,14.824897959183673,40.0,-9.8,0.11836734693877551,0.786017856050584
134,290.24,1.5438297872340425,4.97,0.1,1.2519474510020547,188,1,16.2031914893617,39.8,-9.4,0.13297872340425532,0.8109361934550244
135,247.9,1.3772222222222223,4.97,0.15,1.1410884030772952,180,4,13.868333333333334,39.9,-10.0,0.18888888888888888,0.8285434149008194
136,316.45,1.5743781094527363,4.98,0.12,1.2311651945691156,201,1,13.41542288557214,39.0,-9.7,0.09950248756218906,0.7820009609998174
137,306.58,1.525273631840796,4.99,0.1,1.1920469998079957,201,3,13.4,39.9,-10.0,0.14427860696517414,0.781529933333574
138,277.44,1.5078260869565216,4.91,0.1,1.1535195144146562,184,2,15.892934782608696,39.7,-9.9,0.10869565217391304,0.7650215926048758
139,293.61,1.4535148514851486,4.99,0.11,1.1721787437251292,202,2,15.845544554455447,39.7,-9.3,0.10891089108910891,0.8064442840246452
140,270.14,1.4602162162162162,4.94,0.11,1.2214286702361035,185,3,13.597297297297297,39.8,-9.9,0.11891891891891893,0.8364711038486679
141,258.68,1.5216470588235294,4.97,0.11,1.2579760649634333,170,1,14.314705882352941,39.9,-9.7,0.08235294117647059,0.8267200055813502
142,292.46,1.5075257731958762,4.81,0.15,1.1326122137755004,194,5,14.215463917525774,39.9,-9.9,0.16494845360824742,0.7513053732901835
143,375.3,1.6606194690265488,4.93,0.13,1.262164126102177,226,3,14.984513274336283,39.6,-9.9,0.09292035398230089,0.760056201702883
144,322.23,1.6031343283582091,4.96,0.15,1.2311294110960356,201,4,14.721393034825871,39.9,-9.9,0.12437810945273632,0.7679514993337154
145,326.22,1.614950495049505,4.98,0.12,1.2507379901182851,202,2,13.761881188118812,39.9,-10.0,0.14356435643564355,0.7744745080126711
146,301.99,1.5647150259067357,4.92,0.13,1.2618397806015085,193,5,13.648704663212435,40.0,-10.0,0.12953367875647667,0.8064342450282829
147,311.2,1.4819047619047618,4.87,0.12,1.2128984583682774,210,2,15.99,39.9,-9.6,0.11428571428571428,0.8184726100814211
148,286.1,1.4163366336633665,4.93,0.1,1.1439929398003248,202,2,15.214356435643566,39.4,-9.8,0.10396039603960396,0.8077125964336441
149,332.96,1.5931100478468898,4.95,0.12,1.244525856711525,209,2,15.072727272727272,39.4,-9.6,0.13875598086124402,0.7811926479238008
150,341.89,1.582824074074074,4.91,0.1,1.223621725471418,216,5,14.63425925925926,39.9,-9.7,0.14351851851851852,0.7730623671409701
151,358.71,1.6454587155963303,4.99,0.14,1.196820295979471,218,4,14.286697247706423,39.7,-9.9,0.11926605504587157,0.7273475078016355
152,351.59,1.6429439252336449,4.99,0.12,1.2066969726055161,214,5,13.561214953271028,39.4,-9.9,0.1308411214953271,0.7344724029056016
153,316.46,1.598282828282828,4.96,0.1,1.2654748033752972,198,3,13.494949494949495,39.6,-9.6,0.11616161616161616,0.7917715068833624
154,293.31,1.3900947867298579,4.95,0.11,1.1430181394724972,211,1,14.309004739336492,39.9,-9.8,0.11848341232227488,0.8222591368473523
155,324.66,1.5608653846153848,5.0,0.11,1.2530180844486667,208,5,15.04471153846154,39.5,-9.8,0.125,0.8027713964311053
156,306.27,1.523731343283582,4.94,0.1,1.1857472359076726,201,4,14.492039800995025,39.9,-9.9,0.15920398009950248,0.778186549180273
157,273.11,1.4842934782608697,4.99,0.13,1.102577973035876,184,1,13.882065217391306,39.3,-9.9,0.10326086956521739,0.7428301674731836
158,276.98,1.4811764705882353,4.87,0.11,1.1992025602535463,187,3,15.632620320855615,39.8,-9.9,0.1443850267379679,0.809628416374515
159,281.59,1.5909039548022597,4.99,0.1,1.21265311912097,177,3,14.690395480225988,39.8,-9.5,0.12429378531073447,0.7622415642757616
160,292.81,1.46405,4.98,0.11,1.1627048249879466,200,3,15.1575,39.8,-9.9,0.12,0.7941701615299659
161,348.5,1.6209302325581396,4.98,0.15,1.268597013617889,215,2,14.307441860465115,39.9,-9.7,0.11627906976744186,0.7826351733941065
162,296.87,1.4769651741293532,5.0,0.15,1.1800378145555737,201,1,13.993532338308457,39.6,-9.8,0.17412935323383086,0.7989611638955445
163,347.73,1.5663513513513514,4.92,0.11,1.2426160999766749,222,2,16.05135135135135,39.7,-9.7,0.10810810810810811,0.7933188801507544
164,318.62,1.5244976076555024,5.0,0.1,1.1503824034959398,209,5,16.230622009569377,39.8,-9.9,0.11483253588516747,0.7545977099072607
165,239.02,1.3896511627906978,4.95,0.11,1.0532755343618259,172,3,15.076744186046511,40.0,-8.6,0.11046511627906977,0.7579423977501215
166,304.1,1.4550239234449762,4.84,0.11,1.0636060416925606,209,5,15.255023923444977,39.7,-9.8,0.14832535885167464,0.7309886968554592
167,300.96999999999997,1.5277664974619287,4.69,0.11,1.1035152950561553,197,5,14.806598984771574,39.7,-9.6,0.1319796954314721,0.7223062535337829
168,287.21,1.4653571428571428,4.99,0.11,1.1673816307424374,196,4,15.119387755102041,40.0,-10.0,0.12755102040816327,0.7966533185666158
169,307.51,1.5609644670050762,4.95,0.11,1.270994140770846,197,5,15.306091370558377,39.9,-9.8,0.15228426395939088,0.8142364337155106
170,340.96,1.6713725490196076,4.98,0.1,1.2450513188748062,204,5,15.374509803921569,40.0,-9.7,0.10784313725490197,0.7449274667129884
171,272.3,1.5471590909090909,4.98,0.11,1.2899230974762013,176,1,13.957954545454545,39.1,-9.9,0.10227272727272728,0.8337365595145481
172,281.72,1.444717948717949,4.98,0.13,1.138380699025285,195,2,14.45076923076923,39.6,-10.0,0.14358974358974358,0.7879605150856543
173,285.13,1.4115346534653466,4.81,0.12,1.1094932379522733,202,3,14.886633663366336,39.9,-9.8,0.11386138613861387,0.7860191283497324
174,317.04,1.6342268041237114,4.83,0.11,1.1327872315770207,194,5,14.573711340206186,40.0,-9.9,0.10309278350515463,0.6931640263876546
175,270.51,1.5112290502793295,4.91,0.12,1.2682211943517683,179,4,13.672625698324023,39.7,-9.5,0.13966480446927373,0.8391985279249068
176,337.31,1.6295169082125605,4.75,0.12,1.1977806169186924,207,2,14.858454106280192,39.4,-9.0,0.15458937198067632,0.7350525857584101
177,311.34,1.5489552238805968,4.85,0.1,1.1904975443003127,201,5,13.713930348258707,39.9,-9.9,0.0945273631840796,0.7685809931404988
178,327.91,1.5394835680751175,4.96,0.15,1.2984127523388955,213,2,15.596713615023473,39.7,-9.9,0.09389671361502347,0.8434079968533583
179,336.07,1.5927488151658769,4.92,0.13,1.20027259936908,211,1,15.257345971563982,39.9,-10.0,0.11848341232227488,0.7535856174811076
180,319.45,1.5507281553398058,4.96,0.12,1.2690430248461737,206,1,14.266990291262136,39.9,-9.9,0.0970873786407767,0.8183529914487769
181,298.34000000000003,1.4842786069651743,4.98,0.12,1.2169250601372499,201,5,14.061691542288557,39.7,-9.8,0.13432835820895522,0.8198764399262157
182,322.21,1.6355837563451776,4.91,0.15,1.2264184995593177,197,3,13.131979695431472,40.0,-9.7,0.1218274111675127,0.7498353384847943
183,307.94,1.5169458128078817,4.81,0.12,1.201594869214445,203,1,15.427093596059112,39.6,-9.6,0.15270935960591134,0.7921145627412234
184,288.77,1.4017961165048543,4.88,0.11,1.099624848304746,206,2,14.524757281553397,39.9,-9.9,0.16019417475728157,0.7844399305702728
185,251.22,1.4521387283236995,4.96,0.11,1.2078423696595864,173,1,15.395375722543353,39.9,-9.5,0.12138728323699421,0.831767892489087
186,287.96,1.4691836734693877,4.97,0.11,1.1991631042966744,196,5,16.24591836734694,40.0,-9.9,0.1683673469387755,0.8162104752123496
187,319.56,1.4726267281105991,4.84,0.11,1.148207545854135,217,3,15.681105990783411,39.9,-9.9,0.11981566820276497,0.7797003299860661
188,329.62,1.6563819095477388,4.99,0.15,1.2954808689020791,199,5,15.492964824120602,39.9,-9.6,0.16080402010050251,0.7821148380301977
189,291.16,1.4413861386138616,4.93,0.12,1.1218934152716074,202,3,14.617821782178218,39.9,-9.9,0.13366336633663367,0.7783434190303086
190,293.87,1.4060765550239234,4.96,0.11,1.0941768568705663,209,3,16.01866028708134,39.9,-9.7,0.11961722488038277,0.778177299778638
191,281.82,1.4990425531914893,4.95,0.12,1.1392938700105932,188,1,15.987765957446808,39.5,-8.9,0.14893617021276595,0.7600143622240847
192,296.83,1.4694554455445543,4.94,0.12,1.22177474717351,202,3,15.726237623762376,39.8,-9.1,0.1485148514851485,0.831447289455409
193,328.17,1.7549197860962569,4.91,0.12,1.248080405195199,187,4,14.819251336898395,39.9,-9.9,0.11229946524064172,0.7111894316101478
194,291.4,1.4643216080402008,4.84,0.13,1.0089450521550258,199,2,14.194472361809044,40.0,-10.0,0.12060301507537688,0.6890187555897398
195,311.18,1.6207291666666668,4.9,0.14,1.3207238573665212,192,1,13.010416666666666,39.9,-10.0,0.10416666666666667,0.8148948538285624
196,272.91,1.3057894736842106,4.79,0.1,0.9769425784658141,209,3,16.002392344497608,40.0,-9.2,0.11961722488038277,0.7481623938271047
