Outdoor Temperature (°C),Household Size,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,appliance_Air Conditioning,appliance_Computer,appliance_Dishwasher,appliance_Fridge,appliance_Heater,appliance_Lights,appliance_Microwave,appliance_Oven,appliance_TV,appliance_Washing Machine,is_peak_hour,Energy Consumption (kWh)
-4.5,3,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,0,0,0,0,1,2.91
7.5,3,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1,0,0,0,0,1.03
16.3,1,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0.61
16.9,4,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0.55
22.1,5,0,0.258819045102521,-0.9659258262890682,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,0,0,0,0,1.3
28.2,3,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,1,0,0,0,1.94
4.1,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,1.0,6.123233995736766e-17,0,1,0,0,0,0,0,0,0,0,0,1.02
29.5,3,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,1.87
26.4,2,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,0.38
16.0,4,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,1.91
-9.3,5,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,4.54
17.1,4,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,0,0,0,1,0,0.73
-2.6,1,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,0.33
16.3,2,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,1.1
30.6,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,1,0.92
35.1,5,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0.75
8.8,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,4.36
13.7,2,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,1,0.85
-7.9,4,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0,0,0,2.75
38.0,2,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,1,4.44
21.1,2,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0.48
9.4,4,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0,0,0,0.42
27.1,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,0.71
8.0,2,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,1,0,0,0,0,0,0,3.77
38.4,5,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1.01
19.6,5,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,0,1.84
30.6,4,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0.13
-3.1,5,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0,0,0,0,0,1.53
13.3,2,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,1.95
29.2,5,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,0,0,0,0,0,3.81
16.7,5,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,1,1.05
-2.7,1,0,0.258819045102521,-0.9659258262890682,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,3.6
11.1,2,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,2.1
-7.9,3,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,2.2
36.3,3,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,1,0,0,0,0,1,1.83
19.9,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,1.1
26.5,4,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,0,0,0,0,0,0,0.47
3.0,3,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,1,0.58
16.6,4,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,0.92
14.4,2,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1.33
24.3,4,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,0,0,0,0,1,3.25
36.1,1,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0.29
29.5,5,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0.25
2.5,2,0,0.0,1.0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,0,0,0,0,0.4
29.5,2,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,1.18
32.6,2,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,0,1.87
0.3,1,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,1.97
3.4,5,0,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,2.0
24.2,2,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,1,5.0
12.6,1,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,1,0,0,0,0,0,0,0,0,0,0.88
-8.0,1,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,1,1,0.75
34.8,2,0,1.0,6.123233995736766e-17,0.0,1.0,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,2.37
11.9,2,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0,0,0,4.88
5.9,3,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,0,0,1.0
-1.4,5,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0.9
1.4,4,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,1,0,0,0,0,1.64
25.9,5,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0.24
36.6,3,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0.36
6.1,1,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,1,0,1,0.94
27.9,2,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,0,0,0,0,0.82
1.9,5,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0.17
7.6,3,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,1,0,0,1.76
33.5,4,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,0.83
-4.1,2,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,1.39
-2.5,2,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,1,0,0,0,0,0,0,0,0,0,1.94
-8.5,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,1,0,0,1.59
5.4,5,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,4.96
7.8,1,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0.42
0.5,3,0,0.25881904510252074,0.9659258262890683,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,1,0,0,1.69
24.9,4,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1.33
37.1,5,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,1,0.97
18.2,3,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,0.75
23.0,3,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,0.96
10.0,2,0,0.0,1.0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,0,1,0,0.34
7.2,1,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,0,0,0,0,2.72
-9.2,4,1,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,0,4.15
-2.0,5,1,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0,0,0,0.75
29.0,1,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1,0,0,0,1,1.03
13.0,5,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,0,0,0,0,0,1,1.8
7.5,2,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,1,1.02
-6.8,3,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,0,0,0,0,1.33
-7.8,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0,0,0,0,0,0,0,0.67
32.1,2,0,0.25881904510252074,0.9659258262890683,0.0,1.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,4.27
38.8,1,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,1,0,0,0,0,0,0.74
37.6,3,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0,0,0,0,0,0,0,0.75
37.4,4,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,0,0,0,0,1.95
3.2,4,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,1,0,0,0,0,0,0,4.68
25.6,3,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,1,0,0,0.74
13.1,2,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,0,0,0,1.84
10.9,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,0,1,0,0.44
1.1,5,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,0,0,0,0,1.72
24.5,2,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,0,1,0,0,0,0,0,0,3.55
10.0,2,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,1,1.82
-6.6,2,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,1,0,1.66
12.3,4,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,0,1,0,0,1,1.2
25.7,2,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,0.65
2.0,4,0,0.8660254037844386,0.5000000000000001,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,0,0,0,0,1.98
-8.6,3,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,0,1,0,0,0,1,1.24
-4.5,3,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,1.5
0.2,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,1.47
4.2,1,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,0,0,1,0,0,0.27
37.8,4,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,1,0,0,0,0,0,0.52
38.4,1,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,1,0,1.44
-1.3,4,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0.95
22.9,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,4.1
26.9,4,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0.52
15.6,4,1,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,4.81
16.5,5,1,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,1,0,0,1,1.95
-0.2,5,1,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0,0,0,0,0,0.47
21.9,3,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,1.33
-0.3,4,0,0.0,1.0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,0,1,0,0,0,0,0,0,2.47
27.9,5,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,0,1.27
3.4,5,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,2.01
-8.3,1,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,0,0,0.34
